symbol,month,symbol_month,breakout_shape_name,side,symbol_side,entry_time,exit_time,entry_type,entry_reason,side_entry_reason,symbol_month_side,symbol_month_entry_reason,symbol_month_side_entry_reason,exit_reason,entry_price,exit_price,notional,pnl_pct,pnl_bps,pnl_value,pnl_initial_pct,hold_seconds,hold_bucket,mfe_pct,mae_pct,mfe_bps,mae_bps,mfe_300s_pct,mae_300s_pct,mfe_300s_bps,mae_300s_bps,mae_300s_bucket,outcome,signal_start,signal_bar_index,breakout_level,breakout_pre_touch_seconds,breakout_extension_atr,level_to_signal_open_atr,external_event_key,external_touch_time,external_shape_variant,external_context_combo_spec,external_context_model_status,timing_prediction,rf_probability,sizing_multiplier,cost_penalty,roundtrip_cost_atr,speed_300s_atr,eff_300s,touch_extension_atr,pre_touch_seconds,gross_pnl_initial_pct,round_trip_fee_initial_pct,gross_pnl_bps,round_trip_fee_bps
ETHUSDT,2025-10,ETHUSDT:2025-10,t3_swing,long,ETHUSDT:long,2025-10-12T03:09:51+00:00,2025-10-12T04:09:51+00:00,BUY,External-NextSecond-Adverse,long:External-NextSecond-Adverse,ETHUSDT:2025-10:long,ETHUSDT:2025-10:External-NextSecond-Adverse,ETHUSDT:2025-10:long:External-NextSecond-Adverse,SL,3772.715493164062,3802.093046049842,40000.0,0.778685,57.868456,311.473822,0.231474,3600.0,15-60m,1.232653,-0.487856,123.265265,-48.785642,0.007541,-0.438028,0.754117,-43.802804,gt20bps,win,2025-10-12 03:00:00+00:00,267.0,3763.97,590.0,0.1266813188803766,0.5603215559833924,ETHUSDT|2025-10-12T03:00:00+00:00|2025-10-12T03:09:50+00:00|long,2025-10-12 03:09:50+00:00,,,,fast,0.475,0.95,1.0,0.1,0.4275417769123024,0.9410731823457636,0.0559356228799277,590.0,0.311474,0.08,77.868456,20.0
ETHUSDT,2025-10,ETHUSDT:2025-10,t3_swing,long,ETHUSDT:long,2025-10-17T16:00:45+00:00,2025-10-17T17:00:45+00:00,BUY,External-NextSecond-Adverse,long:External-NextSecond-Adverse,ETHUSDT:2025-10:long,ETHUSDT:2025-10:External-NextSecond-Adverse,ETHUSDT:2025-10:long:External-NextSecond-Adverse,SL,3813.085521606445,3826.581510302112,40092.58952895446,0.353939,15.393879,141.903226,0.061718,3600.0,15-60m,0.868179,-0.893647,86.817932,-89.364667,0.868179,-0.159596,86.817932,-15.959573,10_to_20bps,win,2025-10-17 16:00:00+00:00,400.0,3809.08,44.0,0.0268341547780526,0.1947328773115716,ETHUSDT|2025-10-17T16:00:00+00:00|2025-10-17T16:00:44+00:00|long,2025-10-17 16:00:44+00:00,,,,fast,0.635,1.27,1.0,0.1,0.404575302926635,0.8620976221973474,0.0343918058654362,44.0,0.141903,0.080185,35.393879,20.0
ETHUSDT,2025-10,ETHUSDT:2025-10,t3_swing,long,ETHUSDT:long,2025-10-17T17:01:42+00:00,2025-10-17T18:48:22+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-10:long,ETHUSDT:2025-10:SL-Reentry,ETHUSDT:2025-10:long:SL-Reentry,SL,3786.851692676528,3828.6751430631057,40117.276747577394,1.104439,90.443856,443.070674,0.362836,6400.0,60m+,1.648819,-0.180669,164.881943,-18.066942,0.373617,-0.106728,37.361662,-10.672808,10_to_20bps,win,2025-10-17 16:00:00+00:00,400.0,3809.08,44.0,0.0268341547780526,0.1947328773115716,ETHUSDT|2025-10-17T16:00:00+00:00|2025-10-17T16:00:44+00:00|long,2025-10-17 16:00:44+00:00,,,,fast,0.635,1.27,1.0,0.1,0.404575302926635,0.8620976221973474,0.0343918058654362,44.0,0.443071,0.080235,110.443856,20.0
ETHUSDT,2025-10,ETHUSDT:2025-10,t3_swing,long,ETHUSDT:long,2025-10-17T19:33:15+00:00,2025-10-17T20:43:18+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-10:long,ETHUSDT:2025-10:SL-Reentry,ETHUSDT:2025-10:long:SL-Reentry,SL,3820.5832590054256,3843.4631094495503,40262.411195978406,0.598858,39.885753,241.11448,0.160589,4203.0,60m+,1.11807,-0.139593,111.806986,-13.95928,0.1334,-0.139593,13.340038,-13.95928,10_to_20bps,win,2025-10-17 16:00:00+00:00,400.0,3809.08,44.0,0.0268341547780526,0.1947328773115716,ETHUSDT|2025-10-17T16:00:00+00:00|2025-10-17T16:00:44+00:00|long,2025-10-17 16:00:44+00:00,,,,fast,0.635,1.27,1.0,0.1,0.404575302926635,0.8620976221973474,0.0343918058654362,44.0,0.241114,0.080525,59.885753,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T12:05:55+00:00,2025-11-11T13:05:55+00:00,BUY,External-NextSecond-Adverse,long:External-NextSecond-Adverse,ETHUSDT:2025-11:long,ETHUSDT:2025-11:External-NextSecond-Adverse,ETHUSDT:2025-11:long:External-NextSecond-Adverse,SL,3589.3438238525387,3585.790247087788,40000.0,-0.099004,-29.900352,-39.601408,-0.119601,3600.0,15-60m,0.138918,-1.404822,13.891827,-140.482229,0.138918,-0.138569,13.891827,-13.856869,10_to_20bps,loss,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,-0.039601,0.08,-9.900352,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T13:53:49+00:00,2025-11-11T14:53:49+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3544.523770893019,3540.836230715442,39952.1594366474,-0.104035,-30.403486,-41.564171,-0.121468,3600.0,15-60m,0.087073,-1.640104,8.707338,-164.010406,0.039107,-0.49439,3.910656,-49.438999,gt20bps,loss,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,-0.041564,0.079904,-10.403486,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T14:59:24+00:00,2025-11-11T15:59:24+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3532.94183436136,3529.088284386619,39903.57204058787,-0.109075,-30.907482,-43.52475,-0.123332,3600.0,15-60m,0.00108,-1.860542,0.107973,-186.054219,0.00108,-0.583983,0.107973,-58.398289,gt20bps,loss,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,-0.043525,0.079807,-10.907482,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T16:08:33+00:00,2025-11-11T17:16:04+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3472.4640561009,3488.28323605926,39854.23928307722,0.455561,25.556065,181.560233,0.101852,4051.0,60m+,0.809973,-0.217832,80.99733,-21.783246,0.325301,-0.217832,32.530081,-21.783246,gt20bps,win,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,0.18156,0.079708,45.556065,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T17:35:03+00:00,2025-11-11T18:36:46+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3470.375549114928,3466.770633593446,39894.97998487528,-0.103877,-30.387681,-41.441634,-0.121232,3703.0,60m+,0.457716,-0.701813,45.77159,-70.181251,0.026063,-0.377063,2.606289,-37.706323,gt20bps,loss,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,-0.041442,0.07979,-10.387681,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T19:01:30+00:00,2025-11-11T20:01:30+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3465.948115781512,3462.513018618981,39846.48734737639,-0.09911,-29.910988,-39.491807,-0.119185,3600.0,15-60m,0.115461,-0.450903,11.546149,-45.090252,0.030349,-0.178829,3.03491,-17.882887,10_to_20bps,loss,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,-0.039492,0.079693,-9.910988,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T20:03:17+00:00,2025-11-11T21:03:17+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3455.4955078818184,3452.044344661351,39798.81343451806,-0.099875,-29.987463,-39.748916,-0.119347,3600.0,15-60m,0.18216,-0.759819,18.216002,-75.981918,0.030228,-0.314445,3.022812,-31.444477,gt20bps,loss,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,-0.039749,0.079598,-9.987463,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T21:03:39+00:00,2025-11-11T22:03:39+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3434.58038374067,3431.052018773976,39751.07481731693,-0.102731,-30.27306,-40.836517,-0.120339,3600.0,15-60m,0.434394,-0.854264,43.439415,-85.426428,0.216901,-0.098423,21.690119,-9.842345,5_to_10bps,loss,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,-0.040837,0.079502,-10.27306,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-11T22:09:12+00:00,2025-11-11T23:09:12+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3413.5665874405217,3425.3067867813425,39702.93935071602,0.343928,14.392765,136.549386,0.057143,3600.0,15-60m,0.706397,-0.148718,70.639736,-14.871827,0.33494,-0.148718,33.494037,-14.871827,10_to_20bps,win,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,0.136549,0.079406,34.392765,20.0
ETHUSDT,2025-11,ETHUSDT:2025-11,t3_swing,long,ETHUSDT:long,2025-11-12T00:12:28+00:00,2025-11-12T01:20:52+00:00,BUY,SL-Reentry,long:SL-Reentry,ETHUSDT:2025-11:long,ETHUSDT:2025-11:SL-Reentry,ETHUSDT:2025-11:long:SL-Reentry,SL,3414.672490033769,3439.277099903216,39725.79675373023,0.720555,52.055548,286.246407,0.206794,4104.0,60m+,1.124195,-0.136836,112.419474,-13.683567,0.293658,-0.136836,29.365806,-13.683567,10_to_20bps,win,2025-11-11 12:00:00+00:00,252.0,3587.05,354.0,0.0139232671449537,0.3665248744614716,ETHUSDT|2025-11-11T12:00:00+00:00|2025-11-11T12:05:54+00:00|long,2025-11-11 12:05:54+00:00,,,,fast,0.845,1.69,1.0,0.1,0.3832697495649844,0.9130372787908554,0.0108935597742051,354.0,0.286246,0.079452,72.055548,20.0
